Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition
10883,48,Male,23,Media,6629,Poor,Very High,Average,1,No,7,Associate Degree,Single,4,Senior,Small,39,No,No,Yes,Fair,High
53625,44,Female,32,Education,5122,Excellent,High,Average,0,No,44,Associate Degree,Single,1,Senior,Medium,89,No,No,No,Good,Medium
44366,48,Male,10,Technology,11220,Fair,Medium,Average,0,No,98,Bachelor’s Degree,Single,1,Senior,Medium,70,No,No,No,Good,High
37017,55,Female,6,Healthcare,6975,Fair,High,High,2,No,52,Associate Degree,Married,0,Mid,Small,7,No,No,No,Fair,Medium
30710,36,Male,28,Healthcare,7936,Excellent,High,High,3,Yes,1,Associate Degree,Married,6,Entry,Small,69,No,No,No,Excellent,Medium
41608,23,Male,3,Technology,7723,Fair,High,Average,0,Yes,39,Master’s Degree,Married,3,Entry,Medium,11,Yes,No,No,Good,Medium
60426,19,Female,2,Technology,8806,Excellent,Very High,Average,0,Yes,92,Bachelor’s Degree,Divorced,3,Entry,Medium,49,No,Yes,No,Good,Low
33675,38,Male,30,Education,4322,Poor,Low,Average,0,Yes,25,PhD,Married,2,Senior,Medium,85,No,No,No,Fair,Medium
49949,25,Male,16,Healthcare,10010,Excellent,High,Average,0,Yes,88,Bachelor’s Degree,Divorced,1,Mid,Medium,67,No,No,No,Fair,Low
42701,34,Male,23,Media,6587,Excellent,Very High,Average,0,No,36,Bachelor’s Degree,Married,4,Entry,Medium,27,No,Yes,No,Good,High
25593,38,Male,12,Technology,8167,Fair,Medium,Low,1,No,96,Bachelor’s Degree,Single,0,Senior,Small,13,No,No,Yes,Good,Low
33829,47,Female,22,Finance,12440,Fair,High,Average,0,Yes,15,High School,Married,1,Entry,Medium,60,No,No,No,Good,Low
3298,24,Male,13,Media,5519,Good,Low,Average,0,Yes,27,Associate Degree,Divorced,3,Mid,Small,91,No,No,Yes,Good,Medium
41884,31,Male,20,Finance,8070,Poor,High,High,1,No,49,Associate Degree,Single,1,Senior,Large,60,No,Yes,No,Good,Low
31779,30,Female,4,Education,4114,Excellent,High,Average,0,Yes,64,Bachelor’s Degree,Single,0,Senior,Medium,41,No,No,No,Excellent,Low
7349,45,Male,8,Technology,8970,Good,Medium,High,0,Yes,77,Bachelor’s Degree,Married,0,Mid,Medium,66,No,No,No,Fair,Medium
64414,39,Female,2,Healthcare,7122,Poor,Medium,Average,0,No,65,PhD,Single,5,Mid,Large,72,No,No,Yes,Good,High
63362,42,Female,31,Technology,7883,Excellent,High,Below Average,0,No,66,Master’s Degree,Single,5,Mid,Medium,39,Yes,No,No,Good,Low
71728,36,Male,24,Healthcare,7712,Poor,High,High,2,No,11,Associate Degree,Single,0,Mid,Medium,87,No,No,No,Good,Low
31071,33,Female,17,Education,4686,Good,Medium,Below Average,0,No,11,Bachelor’s Degree,Married,0,Entry,Medium,35,No,No,No,Good,High
22777,24,Male,13,Healthcare,8105,Good,High,Average,1,No,49,High School,Married,1,Entry,Small,83,No,No,No,Fair,High
10162,43,Female,28,Education,5399,Excellent,High,Average,1,No,33,PhD,Single,0,Senior,Large,42,Yes,No,No,Good,Low
72800,55,Male,11,Finance,9272,Fair,High,Average,0,No,14,Associate Degree,Married,4,Mid,Small,68,Yes,No,No,Fair,Medium
71452,41,Female,27,Technology,8648,Fair,Very High,Average,0,No,71,Associate Degree,Married,2,Entry,Large,28,No,No,No,Good,Low
49990,21,Male,1,Healthcare,7549,Good,High,Average,2,Yes,65,Bachelor’s Degree,Single,0,Mid,Large,63,No,No,No,Fair,Low
33598,19,Female,6,Healthcare,8895,Excellent,High,Average,1,No,37,Master’s Degree,Married,0,Mid,Small,57,Yes,No,No,Good,Medium
48226,30,Female,10,Finance,8448,Good,Very High,Average,0,No,44,High School,Married,0,Entry,Large,37,No,No,No,Good,Low
62985,47,Female,33,Healthcare,7385,Excellent,Very High,Below Average,0,Yes,37,High School,Married,1,Mid,Small,106,No,No,Yes,Fair,Low
3996,41,Female,8,Technology,8224,Good,High,Below Average,1,No,66,High School,Married,1,Entry,Large,71,No,No,No,Good,Low
20606,31,Female,4,Education,4673,Good,High,Below Average,2,No,3,Bachelor’s Degree,Married,0,Mid,Medium,80,No,No,No,Excellent,High
52376,25,Male,16,Media,6530,Good,Medium,Low,3,Yes,2,PhD,Single,3,Mid,Large,29,Yes,No,No,Good,Low
74368,38,Female,10,Healthcare,9253,Poor,High,Below Average,2,No,53,Associate Degree,Married,1,Senior,Medium,39,No,No,Yes,Fair,Low
25490,45,Male,14,Education,4692,Good,High,Average,0,No,56,Bachelor’s Degree,Married,0,Mid,Small,44,Yes,No,No,Good,Low
25794,23,Male,12,Education,4443,Good,High,Average,1,No,93,Bachelor’s Degree,Married,1,Mid,Medium,63,No,Yes,No,Fair,Low
18525,21,Male,13,Education,4366,Good,Very High,Average,2,Yes,83,High School,Married,2,Senior,Small,78,No,No,No,Excellent,Low
6106,34,Female,16,Technology,9909,Good,Medium,High,2,No,64,High School,Married,4,Senior,Medium,77,Yes,No,No,Fair,Low
40962,26,Male,5,Finance,5617,Fair,High,High,0,No,51,Master’s Degree,Married,1,Entry,Medium,75,Yes,No,No,Good,Medium
16167,25,Female,15,Healthcare,5950,Good,High,Average,2,No,45,Associate Degree,Single,0,Entry,Large,36,No,No,No,Good,Medium
34357,22,Female,12,Education,3859,Excellent,Very High,Average,0,No,18,Bachelor’s Degree,Married,2,Mid,Small,80,No,No,No,Good,Very High
38175,34,Male,10,Finance,11773,Fair,High,Average,2,Yes,20,High School,Single,3,Senior,Large,51,No,No,No,Fair,High
41768,20,Male,10,Finance,9199,Poor,Medium,Average,0,No,3,Associate Degree,Married,1,Mid,Medium,76,No,No,No,Good,Low
9488,31,Female,19,Healthcare,7565,Excellent,High,Average,2,Yes,98,High School,Divorced,5,Mid,Medium,81,No,No,No,Good,High
39817,54,Female,45,Finance,7916,Good,Medium,Average,0,Yes,54,Bachelor’s Degree,Married,1,Senior,Medium,48,No,No,No,Good,Medium
17267,51,Male,40,Education,3265,Good,High,Average,0,No,20,Bachelor’s Degree,Single,5,Senior,Small,41,Yes,No,No,Fair,High
5019,21,Female,12,Finance,8723,Excellent,High,Average,1,Yes,28,Bachelor’s Degree,Divorced,0,Senior,Small,21,No,No,Yes,Poor,Low
69201,32,Female,23,Healthcare,6977,Fair,High,Average,1,Yes,92,High School,Single,0,Mid,Large,91,No,No,No,Poor,Low
69327,22,Female,10,Healthcare,9249,Fair,Very High,High,0,No,42,Bachelor’s Degree,Single,0,Senior,Medium,65,Yes,No,No,Good,Low
38747,43,Male,10,Healthcare,6446,Excellent,Very High,High,0,Yes,90,Bachelor’s Degree,Divorced,1,Entry,Medium,12,No,No,No,Poor,High
17429,28,Female,18,Healthcare,7611,Excellent,Medium,Average,0,Yes,2,Master’s Degree,Married,0,Entry,Small,33,No,Yes,No,Excellent,Low
57235,38,Male,16,Finance,10120,Poor,High,Average,0,Yes,15,Master’s Degree,Married,0,Senior,Small,77,No,No,No,Fair,Low
58382,18,Female,3,Healthcare,8418,Excellent,Very High,Below Average,0,Yes,93,Master’s Degree,Single,1,Entry,Small,77,No,No,No,Good,High
33587,32,Female,14,Technology,9561,Good,High,Below Average,0,No,66,Master’s Degree,Divorced,4,Senior,Medium,55,No,No,No,Fair,High
8032,38,Male,13,Healthcare,7975,Excellent,Low,Average,0,Yes,25,Bachelor’s Degree,Single,5,Senior,Large,15,No,No,No,Good,Low
19661,46,Female,11,Finance,12579,Good,Low,Average,0,No,49,Master’s Degree,Married,5,Senior,Medium,41,No,No,No,Excellent,Medium
29433,38,Male,11,Media,5603,Poor,Low,High,1,Yes,80,Bachelor’s Degree,Married,1,Mid,Medium,72,Yes,No,No,Poor,Low
415,39,Male,21,Healthcare,8971,Excellent,High,Average,0,No,29,Bachelor’s Degree,Married,2,Mid,Medium,47,No,No,No,Excellent,Medium
67858,27,Female,5,Finance,7188,Poor,Medium,Average,2,No,3,Master’s Degree,Single,2,Mid,Small,11,No,No,No,Fair,Medium
